"task_id","best_run","B0_hat","sigma_beta_hat","filter_seed","Np","final_pf_logLik","n_filter_times","estimate_semantics","conditioning","parameter_uncertainty_integrated","sampled_trajectory_used_for_metrics"
127,3,3.8047422759085,0.385578883390421,147260900,50000,-156.433082999824,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
128,9,3.61733831918976,0.349411300027722,148260900,50000,-163.493765744138,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
129,3,5.04618767122895,0.289808901153916,149260900,50000,-193.426643951862,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
130,4,2.73666469989056,0.368728380105227,150260900,50000,-145.227367862328,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
131,9,4.31197199317756,0.251358052201246,151260900,50000,-192.284644053019,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
132,8,3.88138421439355,0.410988840220339,152260900,50000,-129.569690774817,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
133,1,5.41461175711271,0.356059953680531,153260900,50000,-207.403302458839,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
134,7,4.30932712366604,0.210484983989523,154260900,50000,-185.841985810553,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
135,9,4.07738286930757,0.383754776774334,155260900,50000,-202.346912869347,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
136,8,5.2515442736939,0.308025218413811,156260900,50000,-213.949663844438,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
137,5,3.75848496247429,0.242033005575697,157260900,50000,-184.915329291508,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
138,7,3.47787407779206,0.276858606471477,158260900,50000,-180.12666243504,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
139,7,4.24164803492731,0.303381929081243,159260900,50000,-194.434174490955,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
140,4,3.49359101517309,0.246450049414789,160260900,50000,-180.235232338948,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
141,1,4.34449544707249,0.192169295773234,161260900,50000,-207.93038268835,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
142,1,4.71522599688928,0.273217670977182,162260900,50000,-191.427329312212,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
143,8,3.54379394119288,0.2131562048028,163260900,50000,-192.432587202135,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
144,7,3.57725014891568,0.24240972620292,164260900,50000,-185.706027558192,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
145,1,4.04626229928986,0.322885692776719,165260900,50000,-187.41748800532,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
146,8,5.10583630047196,0.382364415889081,166260900,50000,-197.694100725005,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
147,8,3.84179642089464,0.240965738540946,167260900,50000,-195.713440223783,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
148,6,4.00469995657025,0.132942522481439,168260900,50000,-213.60412745405,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
149,5,3.08514793610381,0.258928326268905,169260900,50000,-127.268276994405,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
150,2,3.93101848829797,0.273461717487633,170260900,50000,-191.405252314736,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
151,8,3.36393387550665,0.237635403969029,171260900,50000,-195.410708399233,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
152,3,4.53761657685188,0.247995416584575,172260900,50000,-187.569295925846,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
153,5,4.0735920606917,0.248329977477433,173260900,50000,-186.898852287052,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
154,6,4.77323297277169,0.177591494944862,174260900,50000,-203.603305307173,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
155,7,4.67173247107533,0.344725694302061,175260900,50000,-197.78692832795,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
156,3,3.50355747246574,0.337428509620938,176260900,50000,-164.103616472097,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
