"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,7,2,0.45,4.47289766288475,0.405273646323233,NA,-192.87522762091,0.0232041571608616,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,8,4,0.45,4.35638080574245,0.409431109670015,NA,-192.812784269569,0.021275026386596,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,9,6,0.45,4.30776739869684,0.401540573639759,NA,-192.857549513019,0.0206751692790182,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,1,2,0.1,4.31632644601506,0.190985076252914,NA,-197.946453812945,0.0175457780947581,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,2,4,0.1,4.3911969497631,0.193175612038568,NA,-197.984748939806,0.0108259986522833,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,3,6,0.1,4.36149596175354,0.203094950321547,NA,-197.964759609557,0.0248001654230462,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,4,2,0.3,4.33095044483296,0.18365830327528,NA,-197.968669239811,0.0301510502241712,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,5,4,0.3,4.31018489193028,0.209834123921238,NA,-197.96729766481,0.0127767725948339,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,6,6,0.3,4.34131130459856,0.214178951062355,NA,-197.947042917992,0.0221908833900159,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,7,2,0.45,4.22330330345271,0.191780133021758,NA,-198.00053921371,0.012845171890909,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,8,4,0.45,4.55892768967319,0.190434482947702,NA,-197.998154026095,0.0268270439928056,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise",600,9,6,0.45,4.23594680386515,0.208247117245397,NA,-197.972580591877,0.016038290553444,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,1,2,0.1,4.0448205818679,0.287180272396869,NA,-216.076763420123,0.0395279648986015,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,2,4,0.1,3.88179193819817,0.287774553221551,NA,-216.033772866638,0.0290696595744433,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,3,6,0.1,3.69624015026431,0.256312746060741,NA,-216.197291056846,0.0940635631231761,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,4,2,0.3,3.99139609682306,0.303575421683035,NA,-216.048893093567,0.0390962049664934,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,5,4,0.3,3.84889537741742,0.319264420386003,NA,-216.178042930681,0.0325979874833243,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,6,6,0.3,4.12414156435507,0.278976846653743,NA,-216.134041821066,0.0579127016855614,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,7,2,0.45,4.270354251047,0.264849735293379,NA,-216.165896994379,0.0361027027330779,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,8,4,0.45,4.07413764736504,0.316328952793114,NA,-216.112980969693,0.0291358313049165,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise",600,9,6,0.45,3.48633306539502,0.323347914904305,NA,-216.262555881318,0.0366620566109461,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,1,2,0.1,3.96584105957577,0.268262862365685,NA,-210.320656469998,0.0210648612078557,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,2,4,0.1,3.97366040614152,0.298392315427724,NA,-210.3498210039,0.0255401684148425,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,3,6,0.1,4.11403113296102,0.275581939597217,NA,-210.329998410312,0.0356381550313775,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,4,2,0.3,3.95703530668834,0.261948418294039,NA,-210.30963940013,0.0334783363752914,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,5,4,0.3,3.93919210054922,0.280939475784938,NA,-210.289279511993,0.0106283868321783,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,6,6,0.3,3.97937724549439,0.285236908529875,NA,-210.320396907381,0.0414900826067736,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,7,2,0.45,3.77679277324984,0.267114529802412,NA,-210.312572361926,0.0171439572245963,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,8,4,0.45,3.75502922166553,0.285280253207616,NA,-210.31202575136,0.0380266074011807,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","gamma_noise",600,9,6,0.45,3.86979617819585,0.285911801165317,NA,-210.256839044469,0.0206985108814936,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,1,2,0.1,4.68349112974307,0.201288825925587,NA,-197.07156278386,0.00909030413112875,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","gamma_noise",600,2,4,0.1,4.62884003951496,0.223045934710994,NA,-197.087673765035,0.0147075081316128,5,"success",NA
