"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,7,1,-142.538556497356,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,7,2,-142.350768767173,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,7,3,-142.420314374528,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,7,4,-142.338411684819,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,7,5,-142.416673501415,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,8,1,-142.269280140637,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,8,2,-142.280583439027,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,8,3,-142.315696841225,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,8,4,-142.233633435788,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,8,5,-142.2671893262,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,9,1,-142.33168317888,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,9,2,-142.273607941165,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,9,3,-142.377478284664,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,9,4,-142.296432122394,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,9,5,-142.316505394941,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,1,1,-206.214284099171,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,1,2,-206.25753772993,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,1,3,-206.23291686718,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,1,4,-206.246286539528,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,1,5,-206.283693530038,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,2,1,-206.259292077427,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,2,2,-206.265805535244,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,2,3,-206.210876957713,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,2,4,-206.261663159756,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,2,5,-206.314088476389,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,3,1,-206.22888157902,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,3,2,-206.263170371767,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,3,3,-206.211899634094,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,3,4,-206.273799946413,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,3,5,-206.265805976964,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,4,1,-206.272986601608,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,4,2,-206.263847072195,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,4,3,-206.304103634164,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,4,4,-206.253983540058,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,4,5,-206.283596334048,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,5,1,-206.254275292247,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,5,2,-206.301341463578,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,5,3,-206.389164394394,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,5,4,-206.281893122331,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,5,5,-206.29085338281,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,6,1,-206.227953936169,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,6,2,-206.213125104059,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,6,3,-206.292074782303,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,6,4,-206.217127043793,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,6,5,-206.251164094434,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,7,1,-206.1843622603,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,7,2,-206.262804333217,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,7,3,-206.318687434065,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,7,4,-206.231742011629,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,7,5,-206.339773362403,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,8,1,-206.233282888479,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,8,2,-206.2994246272,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,8,3,-206.309782209402,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,8,4,-206.314686524392,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,8,5,-206.257089948008,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,9,1,-206.251428453046,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,9,2,-206.293344252049,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,9,3,-206.286078129149,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,9,4,-206.270582293895,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,9,5,-206.292288480386,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,1,1,-189.343193127893,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,1,2,-189.279625694507,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,1,3,-189.280861447586,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,1,4,-189.252022652146,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,1,5,-189.229268053652,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,2,1,-189.298616536974,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,2,2,-189.378381164398,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,2,3,-189.306746116153,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,2,4,-189.17624690704,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,2,5,-189.29093019106,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,3,1,-189.313210964932,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,3,2,-189.303298367777,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,3,3,-189.319651372747,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,3,4,-189.254493287509,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,3,5,-189.117862871479,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,1,-189.211225593042,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,2,-189.282211345898,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,3,-189.2699686408,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,4,-189.234269304295,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,5,-189.263213864853,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,5,1,-189.319646092522,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,5,2,-189.239937999727,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,5,3,-189.32107467197,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,5,4,-189.246075011645,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,5,5,-189.262895830647,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,6,1,-189.282228189696,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,6,2,-189.301912601404,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,6,3,-189.263288784073,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,6,4,-189.365135418029,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,6,5,-189.290211411647,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,7,1,-189.294331911018,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,7,2,-189.245005049332,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,7,3,-189.24555353416,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,7,4,-189.306354763102,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,7,5,-189.251030413189,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,8,1,-189.229374855086,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,8,2,-189.362360664489,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,8,3,-189.329624667915,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,8,4,-189.296823161945,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,8,5,-189.21418881131,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,9,1,-189.307718614926,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,9,2,-189.252418164766,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,9,3,-189.348824706277,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,9,4,-189.282366435193,"success"
