"task_id","model","RSS","RMSE","mean_error","AOB","mean_error_before_5","mean_error_after_5"
34,"gamma_noise",16.0679600007226,0.479105714560585,0.0446672432381097,0.0446672432381097,0.203109678431196,-0.104972834444249
35,"gamma_noise",25.9941299226579,0.609380597968812,-0.118527418794015,0.118527418794015,-0.330085979536425,0.0812778885738177
36,"gamma_noise",20.1083993211803,0.535969073217319,-0.122008640081008,0.122008640081008,-0.066250109721023,-0.174669474309882
37,"gamma_noise",49.9049490804833,0.844350545689943,-0.433281588697569,0.433281588697569,-0.0506363043842533,-0.794668801660145
38,"gamma_noise",17.237459219533,0.49623524403442,-0.246808608805912,0.246808608805912,-0.389340516794926,-0.112195140149621
39,"gamma_noise",29.9459597195823,0.654063777139096,0.248698879847846,0.248698879847846,-0.00193322194056994,0.48540697598135
40,"gamma_noise",40.1115614237746,0.756982368390389,-0.501296592624221,0.501296592624221,-0.407055317192307,-0.590302241643251
41,"gamma_noise",21.5693854322094,0.555098259412684,-0.0990969144381661,0.0990969144381661,-0.119713262536813,-0.0796259190116664
42,"gamma_noise",17.6589828421501,0.502266048483558,-0.000303059084568943,0.000303059084568943,-0.262248786635479,0.247090128046846
43,"gamma_noise",34.0884805859463,0.697838300815416,0.0316620706055643,0.0316620706055643,0.304769394469061,-0.226272624154405
44,"gamma_noise",20.9531572681296,0.547111339780248,0.0869533349314867,0.0869533349314867,-0.0411793964184932,0.207967581206468
45,"gamma_noise",23.6373748127145,0.581099632626608,-0.250030063418419,0.250030063418419,-0.00187288955100443,-0.484400727626532
46,"gamma_noise",20.2833885660286,0.538296102345548,0.283488928678543,0.283488928678543,0.349396432050421,0.221242953271769
47,"gamma_noise",12.0969966108644,0.41570931827187,0.200533058913899,0.200533058913899,0.212307516302477,0.189412738046908
48,"gamma_noise",35.7157434734428,0.714300291728533,-0.411218455881066,0.411218455881066,-0.0900305909258786,-0.714562550560965
49,"gamma_noise",37.8315613074299,0.735153640962504,-0.505414444932345,0.505414444932345,-0.556875059085827,-0.456812753787389
50,"gamma_noise",13.8465846412763,0.444756508685632,-0.0385710211050012,0.0385710211050012,0.0254187828180329,-0.0990058359212
51,"gamma_noise",13.6987464474549,0.442375833224177,0.128283769853306,0.128283769853306,0.130375667003192,0.126308089211747
52,"gamma_noise",46.0057296518417,0.810693967728898,-0.363102598698685,0.363102598698685,0.120845054974985,-0.820164271612706
53,"gamma_noise",31.6634838039776,0.672558906649793,0.0233783734127368,0.0233783734127368,-0.391118953222071,0.414848070790055
54,"gamma_noise",34.2155190673461,0.699137418204402,-0.240454753584387,0.240454753584387,-0.0503237927623644,-0.420022883249631
55,"gamma_noise",25.252419326992,0.60062371542294,0.0231597256145584,0.0231597256145584,-0.351877583665227,0.377361628823244
56,"gamma_noise",16.0204138672861,0.478396336991562,-0.0828990082640094,0.0828990082640094,0.0557077898917741,-0.213805428744472
57,"gamma_noise",20.4372788287376,0.540334272580245,-0.232545173246111,0.232545173246111,-0.660962175474463,0.172070884414
58,"gamma_noise",30.9233442273361,0.664651833963103,-0.309424897036813,0.309424897036813,-0.483883256486872,-0.144658668667312
59,"gamma_noise",14.2261602978957,0.450811336812319,-0.16819830974219,0.16819830974219,-0.303669864138885,-0.0402529528119784
60,"gamma_noise",22.6369180850571,0.568669098925065,-0.176860115788068,0.176860115788068,-0.0619196848441457,-0.285414967235105
61,"gamma_noise",45.1747783790121,0.80333926633959,0.170264110898548,0.170264110898548,-0.346870575273034,0.65866909228282
62,"gamma_noise",30.9997930483447,0.66547290433565,-0.164594441487537,0.164594441487537,0.178692993369608,-0.488810352185952
63,"gamma_noise",13.8490126375078,0.444795500964974,0.0309652383709918,0.0309652383709918,-0.0896910353298324,0.144918385755103
64,"gamma_noise",12.8821312986909,0.428987700434587,-0.10546108463757,0.10546108463757,-0.40356127879816,0.176077987625209
65,"gamma_noise",41.5272414702234,0.770224841664742,-0.345260721804428,0.345260721804428,0.00721072218650848,-0.678150418906978
66,"gamma_noise",30.3579417795424,0.658547555279716,0.136941994209186,0.136941994209186,0.129083084730758,0.144364297605479
67,"gamma_noise",19.0350328188643,0.521468158442574,0.304894636498246,0.304894636498246,0.148601380318778,0.452504934001077
