"task_id","model","best_run","best_logLik","second_best_logLik","logLik_gap","n_successful_starts"
45,"constant_B",1,-222.639596657353,-223.06155751004,0.421960852686993,6
46,"constant_B",3,-211.721691873896,-212.589986317993,0.868294444097018,6
47,"constant_B",4,-204.845400925752,-204.937545641825,0.0921447160730224,6
48,"constant_B",6,-200.62916212562,-200.651870603437,0.022708477816991,6
49,"constant_B",6,-182.239319837673,-182.258603533024,0.0192836953509925,6
50,"constant_B",1,-209.27268024697,-209.609909274882,0.337229027912002,6
51,"constant_B",3,-225.974921382021,-226.409485976697,0.434564594676004,6
52,"constant_B",5,-214.66173082286,-214.68004986607,0.0183190432099991,6
53,"constant_B",4,-210.962373869786,-211.423081709369,0.460707839582994,6
54,"constant_B",3,-218.817624293363,-218.961487261128,0.143862967765017,6
55,"constant_B",3,-183.308252106753,-183.316755555313,0.00850344855999197,6
56,"constant_B",6,-206.202710940587,-207.1360502228,0.933339282213012,6
57,"constant_B",3,-128.809824910636,-128.812188675901,0.00236376526501658,6
58,"constant_B",4,-214.983963511104,-215.782428260547,0.798464749442985,6
59,"constant_B",6,-214.59501253743,-214.597110484064,0.00209794663399521,6
60,"constant_B",4,-220.458335070528,-220.988075931198,0.529740860670017,6
61,"constant_B",4,-229.297844359467,-229.408089078533,0.110244719066003,6
62,"constant_B",5,-213.640624473916,-213.738266551911,0.0976420779950047,6
63,"constant_B",2,-211.611622596017,-211.988069155613,0.37644655959599,6
64,"constant_B",1,-198.596375544524,-198.600592477597,0.0042169330729962,6
65,"constant_B",6,-226.479292766092,-227.685007867167,1.20571510107501,6
66,"constant_B",2,-227.332037511837,-227.814895369687,0.482857857850007,6
67,"constant_B",5,-207.114375201259,-207.498994253897,0.384619052637987,6
68,"constant_B",2,-210.984418334885,-211.328887237205,0.344468902320017,6
69,"constant_B",5,-213.626228446742,-214.068095258738,0.441866811995993,6
70,"constant_B",6,-202.636230370285,-202.888390732596,0.252160362311002,6
71,"constant_B",6,-228.368527649357,-229.10707590115,0.73854825179302,6
72,"constant_B",6,-211.69444670224,-211.981199394358,0.286752692118,6
73,"constant_B",2,-208.485578807553,-208.932581318216,0.447002510662998,6
74,"constant_B",3,-216.341153081836,-216.344655443713,0.00350236187699693,6
75,"constant_B",5,-205.13255713337,-205.352143292064,0.219586158694,6
76,"constant_B",2,-231.369445955679,-231.635314538937,0.265868583257998,6
77,"constant_B",3,-210.225729985033,-210.353826129628,0.128096144594991,6
78,"constant_B",5,-228.250615020686,-228.559191892304,0.308576871617987,6
79,"constant_B",4,-213.022885216735,-213.538882786132,0.515997569397001,6
80,"constant_B",2,-217.770949679901,-217.839671288719,0.068721608817981,6
81,"constant_B",6,-211.427962146928,-212.590753653275,1.16279150634699,6
82,"constant_B",6,-218.704070069474,-219.001508751904,0.297438682429998,6
83,"constant_B",4,-218.456967405259,-218.857959739581,0.400992334321984,6
84,"constant_B",1,-188.092254532969,-188.331972236871,0.239717703901988,6
85,"constant_B",3,-213.117533223648,-213.74394956345,0.626416339802006,6
86,"constant_B",2,-154.517193108214,-154.534662934858,0.0174698266440032,6
87,"constant_B",6,-219.42963068494,-219.433395385519,0.00376470057898359,6
88,"constant_B",4,-226.443719960036,-227.070779471189,0.627059511153021,6
89,"constant_B",1,-217.00479643972,-217.173739174452,0.168942734732013,6
90,"constant_B",6,-201.644738076741,-201.790266306735,0.145528229994,6
91,"constant_B",6,-206.993718138167,-207.478528411223,0.484810273056013,6
92,"constant_B",1,-227.996999607874,-228.152176446327,0.155176838453002,6
93,"constant_B",2,-212.298405687201,-212.808183208267,0.509777521065985,6
94,"constant_B",3,-235.317651875119,-236.268670259272,0.951018384153002,6
95,"constant_B",5,-202.644980583629,-202.727696043332,0.082715459702996,6
96,"constant_B",3,-215.556745263998,-215.876951612907,0.320206348908982,6
97,"constant_B",5,-217.461671995935,-217.477479348713,0.0158073527779834,6
98,"constant_B",2,-199.587660008326,-199.836483104481,0.248823096155007,6
99,"constant_B",4,-200.35083246096,-200.370753812067,0.0199213511070013,6
100,"constant_B",2,-204.033559785321,-204.370874649841,0.33731486452001,6
101,"constant_B",6,-202.167842621541,-202.190438806072,0.0225961845309826,6
102,"constant_B",2,-139.200766383456,-139.202779728981,0.00201334552500043,6
103,"constant_B",2,-214.384715286132,-214.944785652543,0.560070366410997,6
104,"constant_B",6,-205.010082415584,-205.574827935812,0.564745520228001,6
105,"constant_B",5,-222.508811079218,-222.719029235672,0.210218156454005,6
106,"constant_B",5,-221.399499224909,-221.615992887645,0.216493662736013,6
107,"constant_B",3,-220.021050596719,-220.70579401866,0.684743421940993,6
108,"constant_B",6,-228.241117149109,-228.473117664858,0.232000515749007,6
109,"constant_B",3,-201.895032978927,-201.973463782313,0.0784308033859986,6
110,"constant_B",2,-206.810180956886,-207.0607566571,0.250575700214,6
111,"constant_B",2,-205.105092207679,-205.633255681977,0.528163474297997,6
112,"constant_B",1,-212.503850831344,-214.505779536053,2.001928704709,6
113,"constant_B",3,-214.710065804085,-215.203287086198,0.493221282113012,6
114,"constant_B",5,-212.799066341244,-213.222131574859,0.423065233615006,6
115,"constant_B",4,-226.180226265396,-226.282822991541,0.102596726145009,6
116,"constant_B",4,-208.122600435671,-208.182014489859,0.0594140541880108,6
117,"constant_B",3,-214.380640368615,-214.691244114681,0.310603746066022,6
118,"constant_B",2,-216.258290955585,-216.266986312473,0.00869535688798351,6
119,"constant_B",2,-219.617080643307,-219.891061573756,0.273980930449,6
120,"constant_B",6,-192.857065609445,-192.927549883653,0.0704842742080132,6
121,"constant_B",1,-224.857954034682,-226.80674103751,1.948787002828,6
122,"constant_B",3,-199.225570857189,-199.52560900943,0.300038152241001,6
123,"constant_B",2,-212.520986330737,-212.659539473125,0.138553142387991,6
124,"constant_B",1,-204.535410883994,-207.11847941042,2.58306852642602,6
125,"constant_B",5,-200.178136082196,-200.270534849944,0.0923987677479943,6
126,"constant_B",2,-211.877490218203,-211.932399398113,0.0549091799099983,6
127,"constant_B",6,-170.897805734392,-171.02195519547,0.124149461078019,6
128,"constant_B",6,-175.645468221096,-175.798897835534,0.153429614438011,6
129,"constant_B",2,-209.582604336299,-209.583821107554,0.00121677125500241,6
130,"constant_B",5,-158.581231341056,-158.659024968272,0.0777936272160105,6
131,"constant_B",4,-207.811399971515,-208.073479361176,0.262079389661011,6
132,"constant_B",4,-134.873620659994,-134.877547866684,0.00392720669000823,6
133,"constant_B",6,-231.464985623892,-232.935260812046,1.47027518815401,6
134,"constant_B",5,-200.628044780359,-200.957814784821,0.329770004462006,6
135,"constant_B",3,-225.587090834857,-225.896602189465,0.309511354607992,6
136,"constant_B",5,-229.055884788625,-229.407161926305,0.35127713768,6
137,"constant_B",4,-210.706477862207,-210.949205758709,0.242727896502004,6
