"task_id","model_gamma","RSS_gamma","RMSE_gamma","mean_error_gamma","AOB_gamma","mean_error_through_5_gamma","mean_error_after_5_gamma","model_constant","RSS_constant","RMSE_constant","mean_error_constant","AOB_constant","mean_error_through_5_constant","mean_error_after_5_constant","logLik_gamma","logLik_se_gamma","B0_hat_gamma","sigma_beta_hat_gamma","status_gamma","logLik_constant","logLik_se_constant","Beta_hat_constant","status_constant","delta_RSS_gamma_minus_constant","delta_RMSE_gamma_minus_constant","delta_AOB_gamma_minus_constant","delta_logLik_gamma_minus_constant","gamma_lower_RSS","gamma_lower_RMSE","gamma_lower_AOB"
21,"gamma_noise",14.1856626308433,0.450169216292898,-0.0483038289030676,0.0483038289030676,-0.0119992465034611,-0.084608411302674,"constant_B",87.7147599563137,1.11940519892303,0.50305864407235,0.50305864407235,-0.49694135592765,1.50305864407235,-188.597676300924,0.0225588976165952,4.76241361681379,0.291791271937744,"success",-212.211159793614,0.342526971818242,3.50305864407235,"success",-73.5290973254704,-0.669235982630134,-0.454754815169282,23.61348349269,TRUE,TRUE,TRUE
22,"gamma_noise",8.34071117817447,0.345185481779092,0.0900177941172016,0.0900177941172016,0.0066913767597654,0.173344211474638,"constant_B",98.941152175728,1.18888394348726,0.64299691374207,0.64299691374207,-0.35700308625793,1.64299691374207,-185.268162670858,0.0161281635339758,4.25237433293879,0.201948752492013,"success",-202.989605553423,0.523885891434293,3.64299691374207,"success",-90.6004409975535,-0.843698461708172,-0.552979119624869,17.721442882565,TRUE,TRUE,TRUE
23,"gamma_noise",19.4050648396976,0.526512309443645,0.171431292387248,0.171431292387248,0.191646802226336,0.15121578254816,"constant_B",119.548960704334,1.30684440381256,0.84133364117703,0.84133364117703,-0.15866635882297,1.84133364117703,-192.09612540642,0.0184367886632642,4.98581012674843,0.260194779703749,"success",-204.57801712406,0.261194841577412,3.84133364117703,"success",-100.143895864636,-0.780332094368913,-0.669902348789782,12.48189171764,TRUE,TRUE,TRUE
24,"gamma_noise",11.2097176735318,0.400173492260042,-0.066666379614224,0.066666379614224,-0.232853761292306,0.0995210020638577,"constant_B",79.0003107948306,1.06234451497505,0.35857477392809,0.35857477392809,-0.64142522607191,1.35857477392809,-192.427775375609,0.0138976479492976,3.356655374576,0.241572978613285,"success",-213.46269748818,0.286656214365612,3.35857477392809,"success",-67.7905931212988,-0.662171022715011,-0.291908394313866,21.034922112571,TRUE,TRUE,TRUE
25,"gamma_noise",15.6341996560506,0.472594656520946,-0.104446377509852,0.104446377509852,0.0778717009538005,-0.286764455973504,"constant_B",97.7617346220044,1.18177671701797,0.62975884978758,0.62975884978758,-0.37024115021242,1.62975884978758,-189.237378241064,0.0399477345659119,4.51555251293838,0.333466299182993,"success",-210.211696250204,0.586773416272041,3.62975884978758,"success",-82.1275349659538,-0.709182060497026,-0.525312472277728,20.97431800914,TRUE,TRUE,TRUE
26,"gamma_noise",9.48569912449178,0.368116812292973,0.088379498615558,0.088379498615558,0.0531544536258574,0.123604543605259,"constant_B",109.062874631768,1.24821515219457,0.74702146299026,0.74702146299026,-0.25297853700974,1.74702146299026,-195.213123760064,0.0211156541478421,4.04137546732246,0.242050624327757,"success",-212.018900861428,0.766760221045248,3.74702146299026,"success",-99.5771755072758,-0.880098339901595,-0.658641964374702,16.805777101364,TRUE,TRUE,TRUE
27,"gamma_noise",9.7342388438098,0.372908239264794,0.104742934286506,0.104742934286506,-0.0686919576214137,0.278177826194426,"constant_B",86.1252603784688,1.10921632811168,0.47995923009101,0.47995923009101,-0.52004076990899,1.47995923009101,-195.42408107666,0.0189078524188838,3.76993723070395,0.213750829218327,"success",-212.457800575998,2.13983257408292,3.47995923009101,"success",-76.391021534659,-0.736308088846885,-0.375216295804504,17.033719499338,TRUE,TRUE,TRUE
28,"gamma_noise",20.5822351533222,0.542247112266858,0.153009411093007,0.153009411093007,0.231878418300578,0.0741404038854357,"constant_B",125.705341597942,1.34007111537273,0.89207095808367,0.89207095808367,-0.10792904191633,1.89207095808367,-200.721368011115,0.0182654033337011,5.32709824597128,0.342946669668198,"success",-215.663901787889,0.917514016268812,3.89207095808367,"success",-105.12310644462,-0.797824003105874,-0.739061546990664,14.942533776774,TRUE,TRUE,TRUE
29,"gamma_noise",33.2889773541162,0.689606278498476,-0.204262240845473,0.204262240845473,-0.545706526577283,0.137182044886337,"constant_B",73.3753443068565,1.02382576856791,0.21958871643066,0.21958871643066,-0.78041128356934,1.21958871643066,-176.992125283521,0.0212079301023607,2.92558650565393,0.270715273622701,"success",-194.279867546133,0.157341051552303,3.21958871643066,"success",-40.0863669527403,-0.334219490069431,-0.015326475585187,17.287742262612,TRUE,TRUE,TRUE
30,"gamma_noise",21.0655229076649,0.548576377123615,0.140165467099153,0.140165467099153,0.056037157321908,0.224293776876399,"constant_B",97.596524913444,1.18077773953952,0.62788221044401,0.62788221044401,-0.37211778955599,1.62788221044401,-213.21592800361,0.0221848856835216,5.15541378279119,0.307095916206105,"success",-231.175110955699,0.639066561681567,3.62788221044401,"success",-76.531002005779,-0.632201362415904,-0.487716743344856,17.959182952089,TRUE,TRUE,TRUE
