"model","task_id","run","variable","n_tail_points","slope_per_100_iterations","tail_mean","tail_sd"
"gamma_noise",200,1,"B0",100,0.0093447929484309,3.63593174409519,0.00285769810300808
"gamma_noise",200,1,"sigma_beta",100,0.000466309333192311,0.35312868125363,0.000189896800251425
"gamma_noise",200,2,"loglik",99,0.0554492358822781,-210.904519201845,0.225221907100415
"gamma_noise",200,2,"B0",100,-0.000694043491288228,4.04816867171602,0.0010052632008463
"gamma_noise",200,2,"sigma_beta",100,-3.1116788421322e-05,0.434131761649372,0.000487848467232351
"gamma_noise",200,3,"loglik",99,0.0580629097284642,-210.926022686984,0.22417355967894
"gamma_noise",200,3,"B0",100,-0.00256617222858767,3.75701701184165,0.00123422531693792
"gamma_noise",200,3,"sigma_beta",100,2.29599478847281e-05,0.407805625273502,0.000305962626471033
"gamma_noise",200,4,"loglik",99,0.168932885130389,-210.940592844172,0.235117725776446
"gamma_noise",200,4,"B0",100,-0.00938621741010112,4.14025010681168,0.00532811917765665
"gamma_noise",200,4,"sigma_beta",100,-9.19701283874656e-05,0.427755258382722,0.000329724446477895
"gamma_noise",200,5,"loglik",99,-0.0924711133157134,-210.877869204398,0.253281442123625
"gamma_noise",200,5,"B0",100,-0.00631129425378491,4.07054389830135,0.00282705845853463
"gamma_noise",200,5,"sigma_beta",100,0.000980981976780042,0.407055964391842,0.000401522245699526
"gamma_noise",200,6,"loglik",99,-0.111004703612408,-210.888613803065,0.253422540432118
"gamma_noise",200,6,"B0",100,0.000411633344900028,4.00944823390389,0.000574098935112852
"gamma_noise",200,6,"sigma_beta",100,-0.0017567180162526,0.422174360628203,0.000822124713492122
"gamma_noise",200,7,"loglik",99,0.159647301479989,-210.956110225538,0.252939909731086
"gamma_noise",200,7,"B0",100,-0.00303985003973666,3.53040742554072,0.00144135641347924
"gamma_noise",200,7,"sigma_beta",100,-0.000490302791487267,0.398094192421762,0.000305343469048304
"gamma_noise",200,8,"loglik",99,0.0394226016343677,-210.89024658152,0.219893170926395
"gamma_noise",200,8,"B0",100,0.0021859033116075,4.16332018383913,0.0018854866112877
"gamma_noise",200,8,"sigma_beta",100,0.000490121166938678,0.422590937929653,0.000307363766114175
"gamma_noise",200,9,"loglik",99,-0.0383410071939927,-211.010141357222,0.238369144228387
"gamma_noise",200,9,"B0",100,-0.00267565192361951,4.33599646377654,0.00121484948137439
"gamma_noise",200,9,"sigma_beta",100,-0.000569347907400376,0.438381498305448,0.000587346360965846
"constant_B",1,1,"loglik",99,0.289773191898181,-198.664646100809,1.33179803202776
"constant_B",1,1,"Beta",100,0.00558943549252558,4.05787628201818,0.00346508588456989
"constant_B",1,2,"loglik",99,0.205515043059493,-198.704300220047,1.11026210475831
"constant_B",1,2,"Beta",100,-0.00790379877516107,4.0485917033867,0.0031701034420863
"constant_B",1,3,"loglik",99,0.464403404795761,-199.53396269084,0.992937163827548
"constant_B",1,3,"Beta",100,0.00195292881212076,3.86717263152882,0.00209760579696495
"constant_B",1,4,"loglik",99,0.6025463274935,-198.563169253991,1.31357684210931
"constant_B",1,4,"Beta",100,-0.00674979957165791,4.05951228416092,0.00400480235499645
"constant_B",1,5,"loglik",99,0.348503947407081,-198.889869622996,0.978269027816091
"constant_B",1,5,"Beta",100,0.000737318005120902,4.00001903573948,0.00313462148932602
"constant_B",1,6,"loglik",99,-0.329369612086927,-198.714358721826,1.21833196125236
"constant_B",1,6,"Beta",100,0.0218130935003338,4.07380992541217,0.00659128262590968
"constant_B",50,1,"loglik",99,-0.333327186051697,-209.904441979197,0.863367828268591
"constant_B",50,1,"Beta",100,-0.00101816515232185,3.82232700255748,0.00315603560785223
"constant_B",50,2,"loglik",99,0.259178007882398,-209.944896767222,0.731280350126328
"constant_B",50,2,"Beta",100,0.0237395553143189,3.88451765147159,0.00722202055288763
"constant_B",50,3,"loglik",99,0.059299954933228,-210.078361639911,0.777461874260643
"constant_B",50,3,"Beta",100,-0.00721111443772905,3.89923104737738,0.0030346717122466
"constant_B",50,4,"loglik",99,-0.0940112113810221,-209.812269469391,0.889524348158549
"constant_B",50,4,"Beta",100,-0.0197252516746567,3.85272124022514,0.00611123063425632
"constant_B",50,5,"loglik",99,0.254594280683618,-210.125864285549,0.656317069506692
"constant_B",50,5,"Beta",100,0.00759856968651791,3.78320390472804,0.00307313507539823
"constant_B",50,6,"loglik",99,-0.0782031458812589,-210.161087799537,0.728543650302232
"constant_B",50,6,"Beta",100,0.00531395789476217,3.88186478695948,0.00235707595997629
"constant_B",100,1,"loglik",99,0.271925136961968,-204.803773627543,0.703421436836045
"constant_B",100,1,"Beta",100,0.00587848959368678,4.27172626145949,0.00462488377725227
"constant_B",100,2,"loglik",99,0.263033327437015,-204.700852607814,0.739170882211547
"constant_B",100,2,"Beta",100,0.00163403887924059,4.345053735096,0.00267703845460041
"constant_B",100,3,"loglik",99,0.2087748291617,-204.756984821762,0.718966893809043
"constant_B",100,3,"Beta",100,-0.0198417334407791,4.30893650661036,0.00593335722774339
"constant_B",100,4,"loglik",99,0.293933126495165,-204.827734307657,0.757527098698657
"constant_B",100,4,"Beta",100,-0.00369828591505782,4.30300297267482,0.00275734472230693
"constant_B",100,5,"loglik",99,0.423742388038957,-204.699752039703,0.634768412340968
"constant_B",100,5,"Beta",100,0.0178905141963385,4.31990610323909,0.00609659910198892
"constant_B",100,6,"loglik",99,-0.108619934356748,-204.787873167565,0.694776063112139
