"task_id","simulation_seed","simulation_attempt","observed_data_md5","simulated_data_md5","acceptance_threshold","recomputed_max_H","accepted","source_experiment","source_task_directory","gamma_model","gamma_Nmif","gamma_logLik"
138,1138,1,"24ce0d2a3efbc542f5ad5931cbdb79aa","ba3134c520f40c1e71d1b51941a08869",20,221,TRUE,"experiment_4_nmif600_model_comparison","task_138","gamma_noise",600,-180.087145532018
139,1139,1,"392c573a8d8baf810091dbff34258106","bd132acb4a77d02bb8fd1baf83fbc89d",20,266,TRUE,"experiment_4_nmif600_model_comparison","task_139","gamma_noise",600,-194.391226307156
140,1140,1,"9af7f4bb9f26f77c38c192936cf0be33","93ebef13ad74f68a8689fcce725c252e",20,172,TRUE,"experiment_4_nmif600_model_comparison","task_140","gamma_noise",600,-180.202106218099
141,1141,1,"bd55561900b24ec7c3c7ac64a514ac02","c0e706f58b1b8ce7bb2fc30f0dd94cd5",20,229,TRUE,"experiment_4_nmif600_model_comparison","task_141","gamma_noise",600,-207.905406401678
142,1142,1,"d1a06c9101d2c0ee727ae600038327ba","0141dae718443279bce643272497a579",20,259,TRUE,"experiment_4_nmif600_model_comparison","task_142","gamma_noise",600,-191.406251579553
143,1143,1,"5e8bbd223a147392f54cce5f77c7b52e","3036bf53090f4d672885c812a3750d15",20,153,TRUE,"experiment_4_nmif600_model_comparison","task_143","gamma_noise",600,-192.472863237133
144,1144,1,"a7c2af9704a9238a0ba07d099939a75d","6028f2d616d3ee17a8dd50a97e257c20",20,117,TRUE,"experiment_4_nmif600_model_comparison","task_144","gamma_noise",600,-185.665051918374
145,1145,1,"2db60151e6a71b77be25757b07f7d413","c261e3231eb9ed7d5ef44940556a8ebd",20,216,TRUE,"experiment_4_nmif600_model_comparison","task_145","gamma_noise",600,-187.421777756995
146,1146,1,"11b683568a8c7109187e0d518ad44753","0869fdc87590ba82a9b184b3c5c63a47",20,199,TRUE,"experiment_4_nmif600_model_comparison","task_146","gamma_noise",600,-197.619877467203
147,1147,1,"39e27a57bdf2c1c57e6c23b743348818","4a2db99ed361a69b098eabb35656bae4",20,197,TRUE,"experiment_4_nmif600_model_comparison","task_147","gamma_noise",600,-195.664001635588
148,1148,1,"08f76d2a0f0fd7c0c65c77a4e3db66f5","f515a82e297efa497324bb15a346e229",20,214,TRUE,"experiment_4_nmif600_model_comparison","task_148","gamma_noise",600,-213.569523751895
149,1149,1,"73fb1389d38e28b1daab2d44d648d7dc","9485242d34676d781485cb6eb5a5f4c6",20,30,TRUE,"experiment_4_nmif600_model_comparison","task_149","gamma_noise",600,-127.240601062732
150,1150,1,"4538cec1dfd416909e103d8882091c24","0f3ee911531a023f7e65a642c16356c6",20,176,TRUE,"experiment_4_nmif600_model_comparison","task_150","gamma_noise",600,-191.370865203269
151,1151,1,"c30a72bbd9994edc5a6a1c2aed4242b1","adcb4006b50ba27acc9a340a3b96e3aa",20,156,TRUE,"experiment_4_nmif600_model_comparison","task_151","gamma_noise",600,-195.359288052537
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","d739fc4372d56a8ee3c12ed3bd271cf0",20,244,TRUE,"experiment_4_nmif600_model_comparison","task_152","gamma_noise",600,-187.539392872941
153,1153,1,"442e0ebc852ae02e3200593355a37960","3db240a61f9c01e220ba14e76a1da37a",20,223,TRUE,"experiment_4_nmif600_model_comparison","task_153","gamma_noise",600,-186.932783050727
154,1154,1,"64361962d8cd28975836ca41ffba829e","6af0229f3c1f9c3ac3e78dc36fc3cc29",20,224,TRUE,"experiment_4_nmif600_model_comparison","task_154","gamma_noise",600,-203.619533707676
155,1155,1,"af7b6609489cc20efa3782fad07fa0d9","f47ed8f9bb755f7b1991892bf544b572",20,248,TRUE,"experiment_4_nmif600_model_comparison","task_155","gamma_noise",600,-197.691444130372
156,1156,1,"9d0dfa99ebb269242e3d64e8a5fe517c","cabadd0505414e045c040a577ff5fc00",20,86,TRUE,"experiment_4_nmif600_model_comparison","task_156","gamma_noise",600,-164.098094166721
157,1157,1,"66c6e6745a642b2c128f396464ab9c36","e9e95aebca0e935659d16773761b1c4c",20,201,TRUE,"experiment_4_nmif600_model_comparison","task_157","gamma_noise",600,-210.951192018767
158,1158,1,"8f8136ef754c0743bae4dd275c47bf9b","e764cae98e76e14b7f76918b4c1ccc35",20,248,TRUE,"experiment_4_nmif600_model_comparison","task_158","gamma_noise",600,-191.82501696966
159,1159,1,"6eeed27f9e2c16bae4fa14c32548d476","29bf4cc62eb03b36dffdda3a0abd2ad8",20,165,TRUE,"experiment_4_nmif600_model_comparison","task_159","gamma_noise",600,-201.198045124472
160,1160,1,"6fc5bd4defacec08d522e9606a883766","8bca9885649b966c9b29da46fa71ada8",20,211,TRUE,"experiment_4_nmif600_model_comparison","task_160","gamma_noise",600,-203.426192914021
161,1161,1,"a357237d620a342d728f96dc8aac5757","4418ab80a2a79b494e083717e7adf7e8",20,148,TRUE,"experiment_4_nmif600_model_comparison","task_161","gamma_noise",600,-201.825956595476
162,1162,1,"4cc160a48b020eb4685997894bf01baf","12c5028d1456cdcd6fc296107ab82997",20,205,TRUE,"experiment_4_nmif600_model_comparison","task_162","gamma_noise",600,-193.169740397804
163,1163,1,"e67c4eaea4e2842baa2a758c4beb2e82","63210b9a60df5933b2a65f357a49de3c",20,223,TRUE,"experiment_4_nmif600_model_comparison","task_163","gamma_noise",600,-191.984675062749
164,1164,1,"d690f07a51a75e813d73e446e77eb394","1d2d3487cd972e0b5f090a6044aef0d1",20,183,TRUE,"experiment_4_nmif600_model_comparison","task_164","gamma_noise",600,-183.413561326403
165,1165,1,"50366235ff21bfd0a4d01f895b905c92","64e0e2e27854470c1a531cd846f46845",20,146,TRUE,"experiment_4_nmif600_model_comparison","task_165","gamma_noise",600,-193.768322744061
166,1166,1,"495d59eeef0b219751064d03c686254d","79c150b481aa4775a1c01b6f4c1dbe47",20,243,TRUE,"experiment_4_nmif600_model_comparison","task_166","gamma_noise",600,-194.493091096625
167,1167,1,"b8bc66b5036c4f6bd977937ad6e2a29d","a4ab8a033fda4dbdcaa78b887c7eddda",20,187,TRUE,"experiment_4_nmif600_model_comparison","task_167","gamma_noise",600,-193.751796873597
168,1168,1,"d65d84681677642681932395599566ad","67a0cfb307c07a301fb4ee13d9e00ebb",20,164,TRUE,"experiment_4_nmif600_model_comparison","task_168","gamma_noise",600,-176.678231888415
169,1169,1,"4b517b06b20afe2ab6f16f327d16edef","c82858f933b02d4b0fc35c1b03993805",20,152,TRUE,"experiment_4_nmif600_model_comparison","task_169","gamma_noise",600,-179.317537852402
170,1170,1,"f32af8f5828cad3f276263ef3b9502fb","17111508fcf863a5659897c2cd4fb41a",20,68,TRUE,"experiment_4_nmif600_model_comparison","task_170","gamma_noise",600,-157.699863627781
171,1171,1,"2ec9a3cf6058379814f756d7b9f93ea9","9b7053c458ad24054d9b7565174d1471",20,210,TRUE,"experiment_4_nmif600_model_comparison","task_171","gamma_noise",600,-193.366542451693
172,1172,1,"68d41d2891a14e960534c955889a715f","98e42f30fa2d32b3fa8e935b44391d76",20,210,TRUE,"experiment_4_nmif600_model_comparison","task_172","gamma_noise",600,-185.068793743475
173,1173,1,"b998c1e8401789afff3d7d34e1be5997","f61b9beef190d70c11bc8805071f0cb5",20,175,TRUE,"experiment_4_nmif600_model_comparison","task_173","gamma_noise",600,-200.661695313835
174,1174,1,"7a6ced56beec68835d7a03f46b6af6e8","bcc5b297a72fc005cac6287ec8ece69f",20,186,TRUE,"experiment_4_nmif600_model_comparison","task_174","gamma_noise",600,-188.312787056814
175,1175,1,"2744bfdd13475fbe6815e8986de922fa","8f0f5f7c8dc4a77bae8ce3c09c1f0d51",20,169,TRUE,"experiment_4_nmif600_model_comparison","task_175","gamma_noise",600,-208.331153693749
176,1176,1,"c141df7878a0d44e38a58170b4492543","5b150ade1c008ef95824e80bc6e4b014",20,156,TRUE,"experiment_4_nmif600_model_comparison","task_176","gamma_noise",600,-198.50437903672
177,1177,1,"c17f97d975a2e6794ea31e8367d83e40","fc4828188d12dab426bd7e23ed2469ec",20,222,TRUE,"experiment_4_nmif600_model_comparison","task_177","gamma_noise",600,-188.238115596293
178,1178,1,"4f3cc0d975b486260ecd02e9ed831df5","21bfc350c8e756437b8db98362e1aa04",20,165,TRUE,"experiment_4_nmif600_model_comparison","task_178","gamma_noise",600,-190.873056445065
179,1179,1,"6d4a044da028c76d3fafc003136384eb","9943bc86378c2217d055535fc1a04f6b",20,201,TRUE,"experiment_4_nmif600_model_comparison","task_179","gamma_noise",600,-191.08731566083
180,1180,1,"ff3b24bb3a95e7b5178276b17e2c0dad","15e96138e683fde695282bf7d0c731df",20,204,TRUE,"experiment_4_nmif600_model_comparison","task_180","gamma_noise",600,-202.707856091962
181,1181,1,"80dfab2294dc854a8695d1c1ce6265d9","84e89022e1531b42834cc1c43b9725d2",20,174,TRUE,"experiment_4_nmif600_model_comparison","task_181","gamma_noise",600,-198.94436424513
182,1182,1,"941f9c48ec56eb19b25786187b006f10","de6ed3f8d213eb554aa3d1a613524b68",20,223,TRUE,"experiment_4_nmif600_model_comparison","task_182","gamma_noise",600,-192.447056656789
183,1183,1,"2dc5d7e9b3e15c740d490d788211573a","c14cf30e60e117a8de1143f72ef3ad41",20,176,TRUE,"experiment_4_nmif600_model_comparison","task_183","gamma_noise",600,-186.62227847248
184,1184,1,"77c6e00a79e8c3b3df80e1c4b0ff8023","cca128834aed21d035ac89795bb4a7a4",20,188,TRUE,"experiment_4_nmif600_model_comparison","task_184","gamma_noise",600,-187.862438613594
185,1185,1,"52e3986fb55b179cf59e4540a86a982d","ebdfb2572126131eec1076f5777c2d8d",20,77,TRUE,"experiment_4_nmif600_model_comparison","task_185","gamma_noise",600,-162.311940212628
186,1186,1,"ccc0636a72fb6ba022578cc100c8cb7c","662d9fd8fb1a2ed4008e8e4837edc4e5",20,208,TRUE,"experiment_4_nmif600_model_comparison","task_186","gamma_noise",600,-189.939280787384
187,1187,1,"7409506000aab5f15ec58cc3dd3fb72e","42ba994fbff9ba887fb33e6d2c546a60",20,215,TRUE,"experiment_4_nmif600_model_comparison","task_187","gamma_noise",600,-195.018895057943
188,1188,1,"0e1b1e567b5a85241d50f71772de9be1","96f4a66af47e82c3bec49a209a265f9a",20,190,TRUE,"experiment_4_nmif600_model_comparison","task_188","gamma_noise",600,-191.467730327889
189,1189,1,"02453cd2773e7494e1a4738ba6f3c7a1","73dfbb5022b1ea7009d5af0ee378c41e",20,179,TRUE,"experiment_4_nmif600_model_comparison","task_189","gamma_noise",600,-160.907106207961
190,1190,1,"e11e338409fdbfff7af641a286a93437","36af014f705773cc8432a425bcc7752d",20,216,TRUE,"experiment_4_nmif600_model_comparison","task_190","gamma_noise",600,-217.502058154108
191,1191,1,"88ccda7d997701880c9d0c636b220b1e","0f94e77b1bb731af42bf935bd4fa569a",20,164,TRUE,"experiment_4_nmif600_model_comparison","task_191","gamma_noise",600,-199.075848783923
192,1192,1,"9a5e00955ca9971800073dd3e4c28ad7","6b3f01c23457199f3e3ee90b7f4710c5",20,172,TRUE,"experiment_4_nmif600_model_comparison","task_192","gamma_noise",600,-186.346909372755
193,1193,2,"50b5e6cbc49ffa79634e56edd10b8bf0","424f97432e6ddbadbb1c30efb51d0cff",20,204,TRUE,"experiment_4_nmif600_model_comparison","task_193","gamma_noise",600,-203.069007580608
194,1194,1,"1f0b118441ef88f9f7e1c86a5d22c593","147dfbe1bdb88bc2e92d46bd85ca6360",20,188,TRUE,"experiment_4_nmif600_model_comparison","task_194","gamma_noise",600,-194.296240190014
195,1195,1,"4b29886fa0376b89caa9cc697a80dc98","99994d41f6d05c5276de9afe4c01023d",20,183,TRUE,"experiment_4_nmif600_model_comparison","task_195","gamma_noise",600,-188.783055202538
196,1196,1,"4a7772e1b5862480e3537a3124e41c07","88e60e45e883153f762f6da0b65bb99a",20,40,TRUE,"experiment_4_nmif600_model_comparison","task_196","gamma_noise",600,-154.455817986771
197,1197,1,"80e2caf0dbc5ddb7f96d7faf9fa1bf49","6f35a493e741f946d5ebec1df47da94a",20,138,TRUE,"experiment_4_nmif600_model_comparison","task_197","gamma_noise",600,-197.026189243371
198,1198,1,"9cf5a39df21d5a234b9a57056ebe1360","04ca5b66ddeb3fd506df4189a712df6b",20,154,TRUE,"experiment_4_nmif600_model_comparison","task_198","gamma_noise",600,-206.852013896138
199,1199,1,"f24eafb51b8268645a90a1a9cbcc2a5c","c2859e6d240fa37bf7b110989dfefaa9",20,243,TRUE,"experiment_4_nmif600_model_comparison","task_199","gamma_noise",600,-190.678310399317
200,1200,1,"2276182a83b89b4d2f8bfc96d14895ca","5df89965557e1db92054827be0a6936a",20,219,TRUE,"experiment_4_nmif600_model_comparison","task_200","gamma_noise",600,-210.849201834351
