"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_id","start_source","mif_seed","evaluation_seed_base","start_b1","start_b2","start_b3","start_b4","start_b5","start_b6","independently_evaluated_logLik","logLik_se","n_successful_pf_evals","eligible_for_selection","status","error_message","selected"
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,10,10,"random",173271200,173271300,1.53403616436798,1.36300909526585,0.756533104405047,1.75337876491578,1.17648883676723,1.33612013590608,-177.603436659162,0.0156524795610816,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,1,1,"constant_B3",174262200,174262300,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,-196.623659614162,0.00450385201117142,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,2,2,"constant_B4",174263200,174263300,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,-196.616070685499,0.00419661534706138,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,3,3,"declining_B4_to_B2",174264200,174264300,1.38629436111989,1.2476649250079,1.10903548889591,0.970406052783923,0.831776616671934,0.693147180559945,-196.655103110948,0.00554025567245476,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,4,4,"random",174265200,174265300,1.78227051423239,1.40243875202032,1.55023428986734,1.23787458007616,2.07944154167984,1.72927889475428,-196.61603531317,0.00622269348071767,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,5,5,"random",174266200,174266300,0.795547747337367,0.769810061288404,0.866315864719053,0.419359577113201,0.787370721641389,1.12501596950429,-196.639356952341,0.00164697824149437,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,6,6,"random",174267200,174267300,0.922677346779856,1.06231786119942,1.43758290075537,0.418094130911753,0.0719541323920004,0.843660639787665,-196.607605727241,0.00984063278117997,5,TRUE,"success",NA,TRUE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,7,7,"random",174268200,174268300,1.5433944793579,1.64424096295463,1.80486167526603,1.62064220764574,1.98911644775861,1.74992361299092,-196.646571707426,0.00900737792291947,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,8,8,"random",174269200,174269300,0.776412556814594,0.472509711604334,0.44103555645237,0.752229403109706,1.43113987396717,0.619024215836452,-196.610597889333,0.0067492810133503,5,TRUE,"success",NA,FALSE
154,1154,1,"64361962d8cd28975836ca41ffba829e","bspline_B",600,9,9,"random",174270200,174270300,0.481406642808887,0.0387124346073716,1.08089899480423,0.619368085301466,0.543280788648167,0.902378033613548,-196.624550307639,0.00698097457803608,5,TRUE,"success",NA,FALSE
