"task_id","simulation_seed","observed_data_md5","model","display_model","n_observation_times","RSS","RMSE","mean_error","AOB","mean_error_through_5","mean_error_after_5"
24,1024,"f17101a77a91a5858651ca092461a15e","gamma_noise","Gamma-noise",70,11.2097176735318,0.400173492260042,-0.066666379614224,0.066666379614224,-0.232853761292306,0.0995210020638577
25,1025,"5bffd9597ff51651a7b3c018b0060e43","gamma_noise","Gamma-noise",70,15.6341996560506,0.472594656520946,-0.104446377509852,0.104446377509852,0.0778717009538005,-0.286764455973504
26,1026,"7d638818fac5c183766d7bd337251990","gamma_noise","Gamma-noise",70,9.48569912449178,0.368116812292973,0.088379498615558,0.088379498615558,0.0531544536258574,0.123604543605259
27,1027,"febf6d542123ef85142ab3d7c88fd4f9","gamma_noise","Gamma-noise",70,9.7342388438098,0.372908239264794,0.104742934286506,0.104742934286506,-0.0686919576214137,0.278177826194426
28,1028,"fa30cb31cb12a8463966a31a9ac1f66d","gamma_noise","Gamma-noise",70,20.5822351533222,0.542247112266858,0.153009411093007,0.153009411093007,0.231878418300578,0.0741404038854357
29,1029,"f88e4728f80479179227d46e3ae73be8","gamma_noise","Gamma-noise",70,33.2889773541162,0.689606278498476,-0.204262240845473,0.204262240845473,-0.545706526577283,0.137182044886337
30,1030,"6d8fcd9da06daac4afecfcdf2af73043","gamma_noise","Gamma-noise",70,21.0655229076649,0.548576377123615,0.140165467099153,0.140165467099153,0.056037157321908,0.224293776876399
31,1031,"1f4f623a1599fc68865ccca5c8e38092","gamma_noise","Gamma-noise",70,60.281881617021,0.92799231537013,-0.531253779809292,0.531253779809292,-0.159081186456999,-0.903426373161584
32,1032,"8b18f38744449f8e8c5016a5c62a9db0","gamma_noise","Gamma-noise",70,14.5708454992513,0.456239997921697,0.134458997258005,0.134458997258005,0.0466617145898163,0.222256279926195
33,1033,"1c656b251cec47b7f90e7590d6f84c85","gamma_noise","Gamma-noise",70,19.8571212349834,0.532609763804385,0.388713324039044,0.388713324039044,0.170915220531269,0.606511427546818
34,1034,"6295649cce30d443915163e1f486574c","gamma_noise","Gamma-noise",70,7.9778960446544,0.337594347546079,0.126930565368746,0.126930565368746,0.0966480742069517,0.15721305653054
35,1035,"05c8b3ee0cc2e85807ddffab0af38be8","gamma_noise","Gamma-noise",70,19.7219903704635,0.530794423084917,-0.0037980411046314,0.0037980411046314,-0.235660982230053,0.228064900020789
36,1036,"12e163742e3ae8e7eef3194a703ebcdb","gamma_noise","Gamma-noise",70,14.6536472067707,0.457534498414689,-0.0284374633077964,0.0284374633077964,-0.289842674164503,0.232967747548911
37,1037,"129fa3be8b0ee7a384bf1d0e5525258e","gamma_noise","Gamma-noise",70,41.7176345138056,0.77198847617052,-0.227751567499219,0.227751567499219,-0.0879692279838071,-0.367533907014631
38,1038,"2cb84ae4bd553be0419d1e71639da95a","gamma_noise","Gamma-noise",70,41.8466054344504,0.773180864393045,-0.260984437239321,0.260984437239321,-0.644473906273592,0.122505031794951
39,1039,"42f80019227937c2a1292d80471ad885","gamma_noise","Gamma-noise",70,18.0598771623203,0.507935276561891,0.10173632466434,0.10173632466434,0.06433138119201,0.13914126813667
40,1040,"ab1d08dee64fd498a66e009327aa8634","gamma_noise","Gamma-noise",70,10.1237476282651,0.380295892849335,-0.013677522083186,0.013677522083186,-0.0774707131660338,0.0501156689996617
41,1041,"287dedf1d0604d7339bf2699355ae974","gamma_noise","Gamma-noise",70,36.9234720709131,0.726276925450352,-0.127725863312535,0.127725863312535,-0.445149271252529,0.189697544627459
42,1042,"a0f4bf165f246f2d852e7cb15677c6d0","gamma_noise","Gamma-noise",70,18.2536552437322,0.510653016716722,0.0900174189795591,0.0900174189795591,-0.147780102949746,0.327814940908864
43,1043,"98bd9bf2f837f4d00af88dbb60b77b5c","gamma_noise","Gamma-noise",70,18.782868976246,0.518002605843501,-0.0738251725030673,0.0738251725030673,-0.154147591448504,0.00649724644236914
44,1044,"7fc16f6007b4caa0fad7b388de798f61","gamma_noise","Gamma-noise",70,10.7726951886332,0.392295354996593,0.177892099037702,0.177892099037702,0.0354701334836515,0.320314064591753
45,1045,"ea38700766ed00739f841a67050a1f0f","gamma_noise","Gamma-noise",70,14.2229339556654,0.450760214299376,-0.0616821729219129,0.0616821729219129,-0.0735752574884966,-0.0497890883553291
46,1046,"9df354b439dcb34c0723dc7a22427817","gamma_noise","Gamma-noise",70,20.09174980275,0.535747139219747,0.385512533859188,0.385512533859188,0.29478338564442,0.476241682073956
47,1047,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","gamma_noise","Gamma-noise",70,14.7776339519232,0.459466055825722,0.342100194238142,0.342100194238142,0.224458746582485,0.4597416418938
48,1048,"e149dfe63fefba3d9450d8ebe55e2be8","gamma_noise","Gamma-noise",70,11.0068944378776,0.396536693273822,-0.054028350675377,0.054028350675377,-0.0148331554312389,-0.0932235459195151
49,1049,"c24fd9ec2467b6f39b42b31426dcbff7","gamma_noise","Gamma-noise",70,26.8524050377934,0.61935917386779,-0.378762482920503,0.378762482920503,-0.403087488058799,-0.354437477782206
50,1050,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","gamma_noise","Gamma-noise",70,21.2917444169582,0.551514077232048,0.37044788162421,0.37044788162421,0.164750198405973,0.576145564842447
51,1051,"900920f25b406cb0530e847b193e6c9b","gamma_noise","Gamma-noise",70,11.6780593133683,0.408447571620159,0.0765617654219202,0.0765617654219202,-0.0686329751710794,0.22175650601492
52,1052,"94c869cc26cd44cd9de1033132a41b1b","gamma_noise","Gamma-noise",70,31.2828557957556,0.668504255737662,0.147874742702185,0.147874742702185,0.291545780026899,0.00420370537747173
53,1053,"21c503be1bfd17d135902892b999365f","gamma_noise","Gamma-noise",70,21.153606042523,0.549722086181775,-0.049231145466928,0.049231145466928,-0.336459372691299,0.237997081757443
54,1054,"bb6ab35a8708f3f23940941298b79dbc","gamma_noise","Gamma-noise",70,17.9056981280391,0.505762481352082,-0.0227078490456026,0.0227078490456026,0.058360654682852,-0.103776352774057
55,1055,"7481513b9e19d7a30b033ad1490d6f16","gamma_noise","Gamma-noise",70,23.1058891840274,0.574529486798016,-0.0816636168378976,0.0816636168378976,-0.503317065434337,0.339989831758542
56,1056,"08c1962e5f9bd4d5168d1afa7314d508","gamma_noise","Gamma-noise",70,13.0711894664643,0.432124146620329,0.0513416313001041,0.0513416313001041,0.106189032297325,-0.0035057696971166
57,1057,"0fa2ff4b3c51077ca4a85e846724b31e","gamma_noise","Gamma-noise",70,38.2658385478411,0.739361100138308,-0.201433181474403,0.201433181474403,-0.860154923167683,0.457288560218876
58,1058,"fb197f5caf6d73b93cf36910dcf5bd62","gamma_noise","Gamma-noise",70,28.7545794053896,0.640920982486359,-0.0501202461906769,0.0501202461906769,-0.32216244783838,0.221921955457026
59,1059,"85c4aca3511ef3a6574f147464f1b8a6","gamma_noise","Gamma-noise",70,13.7147001701054,0.442633356339491,-0.0685420994523542,0.0685420994523542,-0.284708421725202,0.147624222820494
60,1060,"0f9b10d21fc1c74a53d447b4ab6c4a76","gamma_noise","Gamma-noise",70,16.8023027851357,0.489931522695275,0.158407313812136,0.158407313812136,-0.0583213457555269,0.3751359733798
61,1061,"ef64f00e9a05074fb3305ee8fb186803","gamma_noise","Gamma-noise",70,14.4071094651529,0.4536693173471,0.11550986240624,0.11550986240624,-0.0556599367511471,0.286679661563627
62,1062,"a04acf843bb2ea72629f7c891c0bc0d1","gamma_noise","Gamma-noise",70,15.1047840187895,0.464524088546385,-0.0313895232352897,0.0313895232352897,-0.0872407764530883,0.0244617299825089
63,1063,"0b8692e4c4282eea08c84c3a7521bdca","gamma_noise","Gamma-noise",70,8.65078596200723,0.351543249970901,-0.0721615173414016,0.0721615173414016,-0.00502886579041769,-0.139294168892385
64,1064,"65224e6e0078d6ba21ee5d2bd4a6c743","gamma_noise","Gamma-noise",70,14.5931835489454,0.456589586717898,0.0582661771398513,0.0582661771398513,-0.294254149573556,0.410786503853259
65,1065,"d23c93587fac0bd4c1fffe812bf746e2","gamma_noise","Gamma-noise",70,11.9194602180926,0.412647553143853,-0.065258009668763,0.065258009668763,0.0428766447205697,-0.173392664058096
66,1066,"b503c7aa16489912e1de4bcf79bdc277","gamma_noise","Gamma-noise",70,15.1690438148226,0.465511144792515,0.172515368417327,0.172515368417327,0.101235817901924,0.24379491893273
67,1067,"a64edf122ea9288d9cc5843d572b4219","gamma_noise","Gamma-noise",70,11.7679519367528,0.410016583928588,0.088408600372501,0.088408600372501,0.179569223328114,-0.00275202258311177
68,1068,"e2dc17973047d198b1f70625999d7313","gamma_noise","Gamma-noise",70,16.6508013263762,0.4877177363771,-0.0325170155897319,0.0325170155897319,0.0979891455580426,-0.163023176737506
69,1069,"8e4ff1513256eaffe3731b1dbc82ec29","gamma_noise","Gamma-noise",70,60.1902219957484,0.927286532968628,-0.328861217189417,0.328861217189417,-0.238359999685728,-0.419362434693107
