"task_id","cutoff_week","n_observation_times","gamma_RMSE","bspline_RMSE","delta_RMSE_gamma_minus_bspline","winner_lower_RMSE"
151,8,56,0.622132675491382,0.494253112443597,0.127879563047785,"bspline_B"
152,8,56,0.536729640181736,0.796181190581753,-0.259451550400017,"gamma_noise"
153,8,56,0.466465160335535,0.70564004031145,-0.239174879975915,"gamma_noise"
154,8,56,0.570122652848533,0.443781823518739,0.126340829329794,"bspline_B"
155,8,56,0.535758585889233,0.638288263723363,-0.10252967783413,"gamma_noise"
156,8,56,0.618330133838746,0.650983182098168,-0.0326530482594214,"gamma_noise"
157,8,56,0.472779748944767,0.457347035370876,0.0154327135738909,"bspline_B"
158,8,56,0.599678577057233,0.556078951268792,0.043599625788441,"bspline_B"
159,8,56,0.486366698051069,0.488729201490629,-0.00236250343955924,"gamma_noise"
160,8,56,0.430057670083384,0.384951703044425,0.045105967038959,"bspline_B"
161,8,56,0.37323463616579,0.416423780962779,-0.0431891447969893,"gamma_noise"
162,8,56,0.471881640113814,0.477214033117652,-0.00533239300383803,"gamma_noise"
163,8,56,0.495476174442499,0.56865212150527,-0.0731759470627703,"gamma_noise"
164,8,56,0.479869535881493,0.524572416163313,-0.0447028802818198,"gamma_noise"
165,8,56,0.588486073025926,0.465177236339412,0.123308836686514,"bspline_B"
166,8,56,0.567212784975637,0.620426406323674,-0.0532136213480361,"gamma_noise"
167,8,56,0.450914540949733,0.67168413105221,-0.220769590102478,"gamma_noise"
168,8,56,0.538823737718627,0.552450014373111,-0.0136262766544838,"gamma_noise"
169,8,56,0.697967006399347,0.798993874402062,-0.101026868002715,"gamma_noise"
170,8,56,0.80131463654085,0.792340047366186,0.00897458917466387,"bspline_B"
171,8,56,0.55858546029609,0.699767408302564,-0.141181948006474,"gamma_noise"
172,8,56,0.541145695163904,0.758511742642304,-0.2173660474784,"gamma_noise"
173,8,56,0.438167573091336,0.383601319359261,0.0545662537320758,"bspline_B"
174,8,56,0.57721704023056,0.462691075028785,0.114525965201775,"bspline_B"
175,8,56,0.55752215365193,0.474500909231172,0.0830212444207572,"bspline_B"
176,8,56,0.526597141567652,0.491897020275989,0.0347001212916626,"bspline_B"
177,8,56,0.535960615173077,0.907542061658369,-0.371581446485292,"gamma_noise"
178,8,56,0.480577062299911,0.515811969566932,-0.0352349072670213,"gamma_noise"
179,8,56,0.452768721702048,0.484142826986577,-0.0313741052845298,"gamma_noise"
180,8,56,0.475571481214653,0.399516587631547,0.0760548935831068,"bspline_B"
181,8,56,0.485605763613587,0.370925063834734,0.114680699778853,"bspline_B"
182,8,56,0.451124448684013,0.495626524468326,-0.0445020757843131,"gamma_noise"
183,8,56,0.610269196973477,0.758775645466213,-0.148506448492736,"gamma_noise"
184,8,56,0.498309822524618,0.560243623484744,-0.0619338009601258,"gamma_noise"
185,8,56,0.689950818747385,0.70614890670161,-0.016198087954225,"gamma_noise"
186,8,56,0.439789403770182,0.55071239425217,-0.110922990481989,"gamma_noise"
187,8,56,0.641584600338371,0.458635208057903,0.182949392280468,"bspline_B"
188,8,56,0.639596212247786,0.621621260465984,0.0179749517818019,"bspline_B"
189,8,56,0.743022685653887,0.709265054687867,0.0337576309660201,"bspline_B"
190,8,56,0.712909838551576,0.433008923841891,0.279900914709685,"bspline_B"
191,8,56,0.631767488877942,0.608765268415976,0.0230022204619659,"bspline_B"
192,8,56,0.430009981295755,0.54488617541072,-0.114876194114965,"gamma_noise"
193,8,56,0.512608340214834,0.459683044028965,0.0529252961858686,"bspline_B"
194,8,56,0.584810533471329,0.488336386253607,0.0964741472177219,"bspline_B"
195,8,56,0.46650777548918,0.49747301406727,-0.03096523857809,"gamma_noise"
196,8,56,0.706308946039796,0.63146963351375,0.0748393125260456,"bspline_B"
197,8,56,0.652419526287276,0.500197536847786,0.15222198943949,"bspline_B"
198,8,56,0.464091499235853,0.436049930154102,0.0280415690817511,"bspline_B"
199,8,56,0.355789691248943,0.516526085238786,-0.160736393989843,"gamma_noise"
200,8,56,0.59455763262738,0.381153467553568,0.213404165073811,"bspline_B"
