"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
113,1113,8,4,0.45,4.20736187634942,0.209451902052076,-199.242431132588,0.023984986917551,5,"success",NA
113,1113,9,6,0.45,4.39937183222354,0.220601923967312,-199.277936540635,0.011826136170755,5,"success",NA
114,1114,1,2,0.1,4.35350031658154,0.296066045377141,-190.804476963359,0.0151368171743844,5,"success",NA
114,1114,2,4,0.1,4.30346630124596,0.295840599757249,-190.835294845019,0.0144119518806983,5,"success",NA
114,1114,3,6,0.1,4.15930656220739,0.285123366257871,-190.804194203139,0.0228738293730133,5,"success",NA
114,1114,4,2,0.3,4.25965619785817,0.296492981453503,-190.81722980867,0.0250025018494896,5,"success",NA
114,1114,5,4,0.3,4.46541740006485,0.27484209744477,-190.813639726036,0.014143172614537,5,"success",NA
114,1114,6,6,0.3,4.25855529942927,0.28614051831035,-190.789017655342,0.0123036276081893,5,"success",NA
114,1114,7,2,0.45,4.32709016073082,0.286880637699974,-190.818034425884,0.022760662297278,5,"success",NA
114,1114,8,4,0.45,4.18037720280468,0.27824109189263,-190.808821264973,0.0116470909358371,5,"success",NA
114,1114,9,6,0.45,4.42502740826141,0.292248847487924,-190.817024445249,0.0116096799580057,5,"success",NA
115,1115,1,2,0.1,4.71382388867412,0.244961308692385,-210.219170027701,0.017802897505618,5,"success",NA
115,1115,2,4,0.1,4.97929135821092,0.255774594836773,-210.179743453207,0.0135247310167828,5,"success",NA
115,1115,3,6,0.1,4.91560524007102,0.240232206993983,-210.193849709551,0.0174564933191036,5,"success",NA
115,1115,4,2,0.3,4.86318762040931,0.242193629480969,-210.197046107055,0.00478399087381431,5,"success",NA
115,1115,5,4,0.3,4.83670608291716,0.232224959497282,-210.204443536971,0.0115108235345962,5,"success",NA
115,1115,6,6,0.3,4.82215785455881,0.254748310459453,-210.192512774982,0.0330931278006806,5,"success",NA
115,1115,7,2,0.45,4.79723977581608,0.224844851411088,-210.205080165905,0.0221326513333522,5,"success",NA
115,1115,8,4,0.45,4.71613776979793,0.236803423709906,-210.215275311857,0.0102944438997983,5,"success",NA
115,1115,9,6,0.45,4.82908935347869,0.242965931841943,-210.163584453402,0.0109371719723597,5,"success",NA
116,1116,1,2,0.1,4.49807543504182,0.158839961029467,-200.215443318841,0.0112562023626956,5,"success",NA
116,1116,2,4,0.1,4.64133217947152,0.160574217563735,-200.193984463392,0.0161693836661346,5,"success",NA
116,1116,3,6,0.1,4.52832751032578,0.161785651483579,-200.204803940215,0.017905152570182,5,"success",NA
116,1116,4,2,0.3,4.56443603449798,0.171218791905625,-200.233603915269,0.0110111050746333,5,"success",NA
116,1116,5,4,0.3,4.65625633727282,0.17614360775801,-200.279814328274,0.010364629625955,5,"success",NA
116,1116,6,6,0.3,4.57024937053126,0.158370028263026,-200.20253329645,0.0135553434866946,5,"success",NA
116,1116,7,2,0.45,4.60780003227755,0.163801045178813,-200.215304554306,0.0187122488298088,5,"success",NA
