"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,1,NA,NA,1,NA,NA,4.00077600086133,-216.521609126209,1.75231878095471,5,"success",NA
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,2,NA,NA,2,NA,NA,3.85784937124177,-217.887277478148,0.412609652343337,5,"success",NA
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,3,NA,NA,3,NA,NA,3.84578379825648,-218.378696199292,0.526236213173752,5,"success",NA
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,4,NA,NA,4,NA,NA,3.83088454887451,-218.743782743604,0.451986189454606,5,"success",NA
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,5,NA,NA,5,NA,NA,3.85127962223187,-217.947691983668,0.45470206586614,5,"success",NA
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,6,NA,NA,6,NA,NA,3.85633443587102,-217.766855851091,0.213368928010837,5,"success",NA
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,1,NA,NA,1,NA,NA,3.53923843026414,-225.343653275929,0.476218800920712,5,"success",NA
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,2,NA,NA,2,NA,NA,3.57952310262628,-225.76166447655,0.205659089757033,5,"success",NA
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,3,NA,NA,3,NA,NA,3.513567591561,-225.677481444326,0.215579729383882,5,"success",NA
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,4,NA,NA,4,NA,NA,3.62625571034832,-225.935436595231,0.348797288408837,5,"success",NA
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,5,NA,NA,5,NA,NA,3.54494529431529,-225.533074887188,0.243852515257712,5,"success",NA
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,6,NA,NA,6,NA,NA,3.61701376399499,-225.967707772304,0.322672007704668,5,"success",NA
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,1,NA,NA,1,NA,NA,3.49809187968362,-212.413741900386,0.280588555528104,5,"success",NA
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,2,NA,NA,2,NA,NA,3.50305864407235,-212.211159793614,0.342526971818242,5,"success",NA
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,3,NA,NA,3,NA,NA,3.55483337337175,-213.190930800202,0.109119099204614,5,"success",NA
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,4,NA,NA,4,NA,NA,3.59816128506041,-214.16118313039,0.200794357374269,5,"success",NA
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,5,NA,NA,5,NA,NA,3.49472927985246,-212.84355891437,0.306210413384632,5,"success",NA
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,6,NA,NA,6,NA,NA,3.5254313701758,-213.078361446436,0.293204840284283,5,"success",NA
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,1,NA,NA,1,NA,NA,3.5296329590219,-203.801374282772,0.235051154609748,5,"success",NA
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,2,NA,NA,2,NA,NA,3.64299691374207,-202.989605553423,0.523885891434293,5,"success",NA
