"experiment","task_id","task_label","illustration_role","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,"Task 1","previously_designated_primary_illustration",7.14285714285714,"B","gamma",1.41984784399665,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.28571428571429,"B","gamma",1.32155119270894,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.42857142857143,"B","gamma",1.29527825624442,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.57142857142857,"B","gamma",1.10542267170083,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.71428571428571,"B","gamma",1.15388791216304,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7.85714285714286,"B","gamma",1.28359651825886,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8,"B","gamma",1.23240314420338,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.14285714285714,"B","gamma",1.22749044233356,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.28571428571428,"B","gamma",1.15186015603173,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.42857142857143,"B","gamma",1.14214436444659,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.57142857142857,"B","gamma",1.21888272037693,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.71428571428571,"B","gamma",1.2226304686807,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",8.85714285714286,"B","gamma",1.42826329843075,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9,"B","gamma",1.40270007203269,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9.14285714285714,"B","gamma",1.55366534855479,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9.28571428571428,"B","gamma",1.47711198656954,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9.42857142857143,"B","gamma",1.53803775974373,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9.57142857142857,"B","gamma",1.45947773349058,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",9.71428571428571,"B","gamma",1.56917669901906,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
